"取引No","取引日","借方勘定科目","借方補助科目","借方部門","借方取引先","借方税区分","借方インボイス","借方金額(円)","貸方勘定科目","貸方補助科目","貸方部門","貸方取引先","貸方税区分","貸方インボイス","貸方金額(円)","摘要","タグ","メモ"
"21","2026/08/08","創立費","","","","対象外","","1180","役員借入金","","","","対象外","","1180","【広告宣伝費】 Canva 6/16","",""
"22","2026/08/08","創立費","","","","対象外","","1980","役員借入金","","","","対象外","","1980","【通信費】 Tokyoo! Japan 有限会社 6/20","",""
"23","2026/08/08","創立費","","","","対象外","","4180","役員借入金","","","","対象外","","4180","【通信費】 Google Asia Pacific Pte. Ltd. 6/30","",""
"24","2026/08/08","創立費","","","","対象外","","1481","役員借入金","","","","対象外","","1481","【通信費】 株式会社グラントン 6/26","",""
"25","2026/08/08","創立費","","","","対象外","","2193","役員借入金","","","","対象外","","2193","【備品・消耗品費】 株式会社つちや 5/3","",""
"26","2026/08/08","創立費","","","","対象外","","4026","役員借入金","","","","対象外","","4026","【広告宣伝費】 Camyshimart 5/12","",""
"27","2026/08/08","創立費","","","","対象外","","1180","役員借入金","","","","対象外","","1180","【広告宣伝費】 Ganya 5/16","",""
"28","2026/08/08","創立費","","","","対象外","","1980","役員借入金","","","","対象外","","1980","【通信費】 Tokyor Inc. 5/20","",""
"29","2026/08/08","創立費","","","","対象外","","3479","役員借入金","","","","対象外","","3479","【通信費】 Google Asia Pacific Pte. Ltd. 5/31","",""
"30","2026/08/08","創立費","","","","対象外","","1481","役員借入金","","","","対象外","","1481","【通信費】 株式会社グラントン 5/26","",""
"31","2026/08/08","創立費","","","","対象外","","1880","役員借入金","","","","対象外","","1880","【接待交際費】 Lea 4/5","",""
"32","2026/08/08","創立費","","","","対象外","","8000","役員借入金","","","","対象外","","8000","【研修採用費】 愛知県行政書士政治連服  4/7","",""
"33","2026/08/08","創立費","","","","対象外","","1180","役員借入金","","","","対象外","","1180","【広告宣伝費】 Canva  4/16","",""
"34","2026/08/08","創立費","","","","対象外","","1980","役員借入金","","","","対象外","","1980","【通信費】 PRONO  4/20","",""
"35","2026/08/08","創立費","","","","対象外","","2100","役員借入金","","","","対象外","","2100","【広告宣伝費】 Camorpaste Ltd. 4/21","",""
"36","2026/08/08","創立費","","","","対象外","","2000","役員借入金","","","","対象外","","2000","【広告宣伝費】 Camoryah  4/29","",""
"37","2026/08/08","創立費","","","","対象外","","3344","役員借入金","","","","対象外","","3344","【通信費】 Google Asia Pacific Pte. Ltd. 4/30","",""
"38","2026/08/08","創立費","","","","対象外","","1481","役員借入金","","","","対象外","","1481","【通信費】 株式会社グラントン 4/26","",""
"39","2026/08/08","創立費","","","","対象外","","51750","役員借入金","","","","対象外","","51750","【研修採用費】 名古屋法務局 3/4","",""
"40","2026/08/08","創立費","","","","対象外","","19800","役員借入金","","","","対象外","","19800","【福利厚生費】 スタジオミルク 3/31","",""
"41","2026/08/08","創立費","","","","対象外","","25000","役員借入金","","","","対象外","","25000","【研修採用費】 虎ノ門タワーズオフィス10階 3/24","",""
"42","2026/08/08","創立費","","","","対象外","","30000","役員借入金","","","","対象外","","30000","【租税公課】 日本郵便株式会社 3/10","",""
"43","2026/08/08","創立費","","","","対象外","","1180","役員借入金","","","","対象外","","1180","【広告宣伝費】 Canva 3/16","",""
"44","2026/08/08","創立費","","","","対象外","","1700","役員借入金","","","","対象外","","1700","【広告宣伝費】 Camorpaste Ltd. 3/20","",""
"45","2026/08/08","創立費","","","","対象外","","1800","役員借入金","","","","対象外","","1800","【通信費】 Global Japan 有限会社 3/20","",""
"46","2026/08/08","創立費","","","","対象外","","3344","役員借入金","","","","対象外","","3344","【通信費】 Google Asia Pacific Pte. Ltd. 3/31","",""
"47","2026/08/08","創立費","","","","対象外","","1481","役員借入金","","","","対象外","","1481","【通信費】 株式会社グラントン 3/26","",""
"48","2026/08/08","創立費","","","","対象外","","4500","役員借入金","","","","対象外","","4500","【広告宣伝費】 株式会社方メラのキタムラ 2/21","",""
"49","2026/08/08","創立費","","","","対象外","","4433","役員借入金","","","","対象外","","4433","【備品・消耗品費】 LOFT 2/20","",""
"50","2026/08/08","創立費","","","","対象外","","3305","役員借入金","","","","対象外","","3305","【備品・消耗品費】 株式会社ナレッジ・デザイン2/1","",""
"51","2026/08/08","創立費","","","","対象外","","12063","役員借入金","","","","対象外","","12063","【備品・消耗品費】 株式会社ヤマダデンキ 2/7","",""
"52","2026/08/08","創立費","","","","対象外","","2800","役員借入金","","","","対象外","","2800","【通信費】 Global Japan 有限会社 2/19","",""
"53","2026/08/08","創立費","","","","対象外","","1779","役員借入金","","","","対象外","","1779","【通信費】 Google Asia Pacific Pte. Ltd. 2/28","",""
"54","2026/08/08","創立費","","","","対象外","","7256","役員借入金","","","","対象外","","7256","【通信費】 株式会社グラントン 2/14","",""
"11","2026/08/14","開業費","","","","課税仕入 10%","","2800","役員借入金","","","","対象外","","2800","宣伝広告費
名刺","",""
"55","2026/08/14","開業費","","","","課税仕入 10%","","19118","役員借入金","","","","対象外","","19118","事務用品費
ゴム印","",""
"56","2026/08/16","開業費","","","","課税仕入 10%","","1180","役員借入金","","","","対象外","","1180","宣伝広告費canva","",""
"57","2026/08/16","開業費","","","","課税仕入 10%","","3200","役員借入金","","","","対象外","","3200","宣伝広告費canva","",""
"59","2026/08/18","広告宣伝費","","","","課税仕入 10%","","1080","現金","","","","対象外","","1080","事務所写真代","",""
"58","2026/08/20","開業費","","","","課税仕入 10%","","1980","役員借入金","","","","対象外","","1980","通信費efax","",""
"60","2026/08/20","備品・消耗品費","","","","課税仕入 10%","","330","現金","","","","対象外","","330","ダイソー","",""
"61","2026/08/26","備品・消耗品費","","","","課税仕入 10%","","2090","現金","","","","対象外","","2090","コーナン","",""
"62","2026/08/26","研修採用費","","","","課税仕入 10%","","165000","普通預金","","","","対象外","","165000","愛知県行政書士会","",""
